img,title,price,product_link
http://www.bornprettystore.com/images/ProPho/6395/dsc.jpg,Nail Water Decals Sticker Transfer Sticker Ch...,USD $1.59,http://www.bornprettystore.com/nail-water-decals-sticker-transfer-sticker-charming-fantastic-rose-pattern-y037-p-6395.html
http://www.bornprettystore.com/images/ProPho/118/dsc.jpg,10 Neon Colors Phosphorescent FLUORESCENT Pow...,USD $3.25,http://www.bornprettystore.com/neon-colors-phosphorescent-fluorescent-powder-glow-dark-nail-acrylic-p-118.html
http://www.bornprettystore.com/images/ProPho/12023/dsc.jpg,1Pc Fashion Gothic Punk Leaf Ring-2 colors,USD $0.99,http://www.bornprettystore.com/fashion-gothic-punk-leaf-ring-colors-p-12023.html
http://www.bornprettystore.com/images/ProPho/6207/dsc.jpg,Nail Art Water Decals Transfers Sticker Compa...,USD $0.99,http://www.bornprettystore.com/nail-water-decals-transfers-sticker-compass-chain-anchor-pattern-k069-p-6207.html
http://www.bornprettystore.com/images/ProPho/4868/dsc1.JPG,Cute Halloween Bowknot Skull Anchor Nail Art ...,USD $2.39,http://www.bornprettystore.com/cute-halloween-bowknot-skull-anchor-nail-stamp-template-p-4868.html
http://www.bornprettystore.com/images/ProPho/4999/dsc.jpg,120pcs Lovely Fruit 3D Nail Art Fimo Decals M...,USD $2.37,http://www.bornprettystore.com/120pcs-lovely-fruit-nail-fimo-decals-manicure-wbox-p-4999.html
http://www.bornprettystore.com/images/ProPho/4997/dsc.jpg,100pcs 3mm Colorful Rhinestone Acrylic UV Gel...,USD $0.99,http://www.bornprettystore.com/100pcs-colorful-rhinestone-acrylic-nail-colors-p-4997.html
http://www.bornprettystore.com/images/ProPho/449/dsc.jpg,2 Finger Stand Support Rest Holder Nail Art P...,USD $1.99,http://www.bornprettystore.com/finger-stand-support-rest-holder-nail-painting-p-449.html
http://www.bornprettystore.com/images/ProPho/4851/dsc.jpg,12 Colors BK Sweet Candy Fast Dry Nail Art Po...,USD $12.95,http://www.bornprettystore.com/colors-sweet-candy-fast-nail-polish-p-4851.html
http://www.bornprettystore.com/images/ProPho/2898/dsc.jpg,1 Pump Dispenser Acetone Polish Makeup Remove...,USD $3.57,http://www.bornprettystore.com/pump-dispenser-acetone-polish-makeup-remover-p-2898.html
